city,latitude,longitude,timestamp,timezone,timezone_offset,datetime,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,uvi,visibility,wind_speed,wind_gust,wind_deg,weather_id,weather_name,weather_description,rain_1h,snow_1h
Birmingham,33.5207,-86.8025,1750870800,America/Chicago,-18000,1750870800,1750847924,1750899656,306.38,313.38,1020,61,297.84,75,,10000.0,2.06,,340,803,Clouds,broken clouds,0.0,0
Birmingham,33.5207,-86.8025,1750892400,America/Chicago,-18000,1750892400,1750847924,1750899656,306.1,313.1,1018,64,298.38,75,,10000.0,2.57,,10,803,Clouds,broken clouds,0.0,0
Miami,25.7743,-80.1937,1751346000,America/New_York,-14400,1751346000,1751365976,1751415368,299.31,299.31,1020,77,294.96,100,0.0,10000.0,2.57,,30,804,Clouds,overcast clouds,0.0,0
Miami,25.7743,-80.1937,1751367600,America/New_York,-14400,1751367600,1751365976,1751415368,298.16,299.01,1019,88,296.03,75,0.1,10000.0,0.0,,0,803,Clouds,broken clouds,0.0,0
Miami,25.7743,-80.1937,1751389200,America/New_York,-14400,1751389200,1751365976,1751415368,299.65,299.65,1019,79,295.71,75,11.26,10000.0,7.2,,130,211,Thunderstorm,thunderstorm,4.21,0
Miami,25.7743,-80.1937,1751410800,America/New_York,-14400,1751410800,1751365976,1751415368,302.38,308.54,1017,80,298.57,40,0.42,10000.0,3.6,,130,802,Clouds,scattered clouds,0.0,0
Miami,25.7743,-80.1937,1751259600,America/New_York,-14400,1751259600,1751279556,1751328967,298.68,299.27,1019,76,294.14,100,0.0,10000.0,2.06,,50,804,Clouds,overcast clouds,0.0,0
Miami,25.7743,-80.1937,1751281200,America/New_York,-14400,1751281200,1751279556,1751328967,299.94,302.76,1019,84,297.01,40,0.11,10000.0,2.57,,80,802,Clouds,scattered clouds,0.0,0
Miami,25.7743,-80.1937,1751302800,America/New_York,-14400,1751302800,1751279556,1751328967,305.16,311.51,1020,64,297.49,75,10.86,10000.0,7.2,,100,803,Clouds,broken clouds,0.0,0
Miami,25.7743,-80.1937,1751324400,America/New_York,-14400,1751324400,1751279556,1751328967,302.23,306.84,1018,74,297.12,75,0.26,10000.0,2.57,,170,803,Clouds,broken clouds,0.0,0
Miami,25.7743,-80.1937,1751173200,America/New_York,-14400,1751173200,1751193136,1751242564,298.84,299.16,1020,65,291.77,75,0.0,10000.0,0.0,,0,803,Clouds,broken clouds,0.0,0
Miami,25.7743,-80.1937,1751194800,America/New_York,-14400,1751194800,1751193136,1751242564,298.79,299.32,1020,73,293.59,75,0.08,10000.0,2.57,,30,803,Clouds,broken clouds,0.0,0
Miami,25.7743,-80.1937,1751216400,America/New_York,-14400,1751216400,1751193136,1751242564,304.62,311.39,1020,68,297.99,75,10.95,10000.0,5.14,8.23,110,803,Clouds,broken clouds,0.0,0
Miami,25.7743,-80.1937,1751238000,America/New_York,-14400,1751238000,1751193136,1751242564,302.31,307.46,1018,76,297.64,100,0.42,10000.0,4.12,,140,804,Clouds,overcast clouds,0.0,0
Miami,25.7743,-80.1937,1751086800,America/New_York,-14400,1751086800,1751106717,1751156160,301.25,306.68,1020,87,298.88,40,0.0,10000.0,2.06,,100,802,Clouds,scattered clouds,0.0,0
Miami,25.7743,-80.1937,1751108400,America/New_York,-14400,1751108400,1751106717,1751156160,300.48,304.34,1020,86,297.93,40,0.11,10000.0,1.54,,120,802,Clouds,scattered clouds,0.0,0
Miami,25.7743,-80.1937,1751130000,America/New_York,-14400,1751130000,1751106717,1751156160,305.34,312.32,1022,65,297.92,75,9.07,10000.0,5.66,10.29,140,803,Clouds,broken clouds,0.0,0
Miami,25.7743,-80.1937,1751151600,America/New_York,-14400,1751151600,1751106717,1751156160,302.9,308.05,1019,72,297.31,40,0.45,10000.0,5.14,,140,802,Clouds,scattered clouds,0.0,0
Miami,25.7743,-80.1937,1751000400,America/New_York,-14400,1751000400,1751020299,1751069755,300.16,303.3,1018,84,297.22,20,0.0,10000.0,3.09,,110,801,Clouds,few clouds,0.0,0
Miami,25.7743,-80.1937,1751022000,America/New_York,-14400,1751022000,1751020299,1751069755,300.51,304.55,1019,87,298.15,75,0.11,10000.0,2.57,,100,803,Clouds,broken clouds,0.0,0
Miami,25.7743,-80.1937,1751043600,America/New_York,-14400,1751043600,1751020299,1751069755,304.8,311.8,1020,75,299.82,75,11.06,10000.0,5.66,,140,803,Clouds,broken clouds,0.0,0
Miami,25.7743,-80.1937,1751065200,America/New_York,-14400,1751065200,1751020299,1751069755,301.33,306.38,1019,84,298.37,100,0.14,10000.0,3.09,,30,804,Clouds,overcast clouds,0.0,0
Miami,25.7743,-80.1937,1750914000,America/New_York,-14400,1750914000,1750933882,1750983349,299.23,299.23,1016,85,296.51,75,,8047.0,6.17,,140,501,Rain,moderate rain,2.03,0
Miami,25.7743,-80.1937,1750935600,America/New_York,-14400,1750935600,1750933882,1750983349,298.58,299.42,1017,86,296.07,40,,10000.0,0.0,,0,802,Clouds,scattered clouds,0.0,0
Miami,25.7743,-80.1937,1750957200,America/New_York,-14400,1750957200,1750933882,1750983349,300.94,304.73,1018,80,297.17,75,,10000.0,4.63,,100,211,Thunderstorm,thunderstorm,0.0,0
Miami,25.7743,-80.1937,1750978800,America/New_York,-14400,1750978800,1750933882,1750983349,300.96,304.78,1018,80,297.19,75,,10000.0,5.14,,120,803,Clouds,broken clouds,0.0,0
Miami,25.7743,-80.1937,1750827600,America/New_York,-14400,1750827600,1750847465,1750896942,300.94,304.73,1019,80,297.17,75,,10000.0,4.63,,100,803,Clouds,broken clouds,0.0,0
Miami,25.7743,-80.1937,1750849200,America/New_York,-14400,1750849200,1750847465,1750896942,298.79,299.6,1019,84,295.88,75,,10000.0,0.0,,0,803,Clouds,broken clouds,0.0,0
Miami,25.7743,-80.1937,1750870800,America/New_York,-14400,1750870800,1750847465,1750896942,300.61,303.35,1019,75,295.78,5,,,5.79,6.17,78,800,Clear,clear sky,0.0,0
Miami,25.7743,-80.1937,1750892400,America/New_York,-14400,1750892400,1750847465,1750896942,302.14,307.02,1017,76,297.48,75,,10000.0,5.66,,70,803,Clouds,broken clouds,0.0,0
New York,40.7143,-74.006,1751346000,America/New_York,-14400,1751346000,1751362115,1751416259,297.73,298.62,1012,91,296.16,40,0.0,10000.0,1.34,2.24,295,802,Clouds,scattered clouds,0.0,0
New York,40.7143,-74.006,1751367600,America/New_York,-14400,1751367600,1751362115,1751416259,296.43,297.27,1011,94,295.41,40,0.35,8047.0,3.58,4.92,196,701,Mist,mist,0.0,0
New York,40.7143,-74.006,1751389200,America/New_York,-14400,1751389200,1751362115,1751416259,304.84,311.84,1010,68,298.2,40,9.62,10000.0,3.13,6.71,225,802,Clouds,scattered clouds,0.0,0
New York,40.7143,-74.006,1751410800,America/New_York,-14400,1751410800,1751362115,1751416259,298.34,299.21,1010,88,296.21,40,0.14,9656.0,2.06,,0,701,Mist,mist,1.78,0
New York,40.7143,-74.006,1751259600,America/New_York,-14400,1751259600,1751275686,1751329866,299.36,299.36,1014,67,292.75,0,0.0,10000.0,1.54,,300,800,Clear,clear sky,0.0,0
New York,40.7143,-74.006,1751281200,America/New_York,-14400,1751281200,1751275686,1751329866,297.98,298.29,1015,68,291.67,0,0.47,10000.0,2.24,3.58,80,800,Clear,clear sky,0.0,0
New York,40.7143,-74.006,1751302800,America/New_York,-14400,1751302800,1751275686,1751329866,305.79,308.73,1013,50,294.01,0,8.15,10000.0,2.24,2.68,285,800,Clear,clear sky,0.0,0
New York,40.7143,-74.006,1751324400,America/New_York,-14400,1751324400,1751275686,1751329866,300.0,302.39,1012,78,295.84,0,0.37,10000.0,2.24,2.24,240,800,Clear,clear sky,0.0,0
New York,40.7143,-74.006,1751173200,America/New_York,-14400,1751173200,1751189259,1751243471,299.3,299.3,1014,83,296.18,0,0.0,10000.0,2.24,3.13,290,800,Clear,clear sky,0.0,0
New York,40.7143,-74.006,1751194800,America/New_York,-14400,1751194800,1751189259,1751243471,298.63,299.43,1015,84,295.73,0,0.47,10000.0,1.79,2.68,308,800,Clear,clear sky,0.0,0
New York,40.7143,-74.006,1751216400,America/New_York,-14400,1751216400,1751189259,1751243471,304.31,306.89,1014,54,293.9,0,8.46,10000.0,4.92,6.71,319,800,Clear,clear sky,0.0,0
New York,40.7143,-74.006,1751238000,America/New_York,-14400,1751238000,1751189259,1751243471,305.5,306.97,1013,45,292.05,0,0.45,10000.0,3.13,4.92,266,800,Clear,clear sky,0.0,0
New York,40.7143,-74.006,1751086800,America/New_York,-14400,1751086800,1751102833,1751157073,291.58,291.62,1022,82,288.45,100,0.0,10000.0,3.13,5.36,113,804,Clouds,overcast clouds,0.0,0
